Timestamp,How many pull requests have you reviewed on GitHub the last year?,"When giving a pull request its **first review**, how influential is each aspect for your impression? [Size (number of commits or changed files / lines)]","When giving a pull request its **first review**, how influential is each aspect for your impression? [Whether a specific GitHub issue is fixed]","When giving a pull request its **first review**, how influential is each aspect for your impression? [Whether a feature is added]","When giving a pull request its **first review**, how influential is each aspect for your impression? [Whether there is a conflict]","When giving a pull request its **first review**, how influential is each aspect for your impression? [Presence of labels]","When giving a pull request its **first review**, how influential is each aspect for your impression? [Status of the submitter in this repository]","When giving a pull request its **first review**, how influential is each aspect for your impression? [Your past interaction with the submitter]","When giving a pull request its **first review**, how influential is each aspect for your impression? [Status of the most recent Continuous Integration build]","When giving a pull request its **first review**, how influential is each aspect for your impression? [History of the submitter's previous pull requests]","When giving a pull request its **first review**, how influential is each aspect for your impression? [Attitude expressed by the submitter]","When giving a pull request its **first review**, how influential is each aspect for your impression? [Presence of tests in the pull request]","When giving a pull request its **first review**, how influential is each aspect for your impression? [Presence of source code comments / documentation]","When giving a pull request its **first review**, how influential is each aspect for your impression? [Code complexity]","When giving a pull request its **first review**, how influential is each aspect for your impression? [Compliance to repository standards]","When giving a pull request its **first review**, how influential is each aspect for your impression? [Whether a milestone is contributed towards]","When giving a pull request its **first review**, how influential is each aspect for your impression? [Clear language in the title / description]","When giving a pull request its **first review**, how influential is each aspect for your impression? [Clear language in the commit messages]","If you can think of additional aspects you value, please describe them and their influence.",How often do you use each action to improve the chances of a pull request being merged? [I add the pull request to a milestone if it contributes towards it],How often do you use each action to improve the chances of a pull request being merged? [I tag the pull request with labels],How often do you use each action to improve the chances of a pull request being merged? [I adjust the language in my feedback to not offend the submitter],How often do you use each action to improve the chances of a pull request being merged? [I ask the submitter to motivate their decisions in the pull request],How often do you use each action to improve the chances of a pull request being merged? [I provide specific feedback on lines of code],How often do you use each action to improve the chances of a pull request being merged? [I @-mention other users to review this pull request],How often do you use each action to improve the chances of a pull request being merged? [I ask submitters to follow repository conventions],How often do you use each action to improve the chances of a pull request being merged? [I ask submitters to add tests],How often do you use each action to improve the chances of a pull request being merged? [I ask submitters to fix a flaw in the code],How often do you use each action to improve the chances of a pull request being merged? [I ask submitters to add source code comments / documentation],How often do you use each action to improve the chances of a pull request being merged? [I tell submitters their pull request will be merged if my feedback is addressed],How often do you use each action to improve the chances of a pull request being merged? [I assign reviewers to the pull request],"If you can think of additional ways you respond, please describe them and how often you use them.",How influential is each aspect when making your **final decision** on a pull request? [Size (number of commits or changed files / lines)],How influential is each aspect when making your **final decision** on a pull request? [Whether a specific GitHub issue is fixed],How influential is each aspect when making your **final decision** on a pull request? [Whether a feature is added],How influential is each aspect when making your **final decision** on a pull request? [Whether there is a conflict],How influential is each aspect when making your **final decision** on a pull request? [Presence of labels],How influential is each aspect when making your **final decision** on a pull request? [Status of the submitter in this repository],How influential is each aspect when making your **final decision** on a pull request? [Your past interaction with the submitter],How influential is each aspect when making your **final decision** on a pull request? [Amount of discussion in the thread],How influential is each aspect when making your **final decision** on a pull request? [Number of code review comments],How influential is each aspect when making your **final decision** on a pull request? [Status of the most recent Continuous Integration build],How influential is each aspect when making your **final decision** on a pull request? [History of the submitter's previous pull requests],How influential is each aspect when making your **final decision** on a pull request? [Attitude expressed by the submitter],How influential is each aspect when making your **final decision** on a pull request? [Presence of tests in the pull request],How influential is each aspect when making your **final decision** on a pull request? [Presence of source code comments / documentation],How influential is each aspect when making your **final decision** on a pull request? [Code complexity],How influential is each aspect when making your **final decision** on a pull request? [Compliance to repository standards],How influential is each aspect when making your **final decision** on a pull request? [Whether a milestone is contributed towards],How influential is each aspect when making your **final decision** on a pull request? [States of the code reviews by other users],How influential is each aspect when making your **final decision** on a pull request? [Clear language in the title / description],How influential is each aspect when making your **final decision** on a pull request? [Clear language in the commit messages],How influential is each aspect when making your **final decision** on a pull request? [Responsiveness of the submitter],"If you can think of additional aspects you value, please describe them and their influence.",How many pull requests have you submitted on GitHub the last year?,"When preparing a pull request for its first review, how often do you use each action to increase your chances of having it merged? [I reference an issue in the title or description]","When preparing a pull request for its first review, how often do you use each action to increase your chances of having it merged? [I add the pull request to a milestone if it contributes towards it]","When preparing a pull request for its first review, how often do you use each action to increase your chances of having it merged? [I tag the pull request with labels]","When preparing a pull request for its first review, how often do you use each action to increase your chances of having it merged? [I notify reviewers using the @-mention tag]","When preparing a pull request for its first review, how often do you use each action to increase your chances of having it merged? [I give a clear title and description]","When preparing a pull request for its first review, how often do you use each action to increase your chances of having it merged? [I communicate why my pull request is valuable]","When preparing a pull request for its first review, how often do you use each action to increase your chances of having it merged? [I make sure that coding conventions are followed]","When preparing a pull request for its first review, how often do you use each action to increase your chances of having it merged? [I follow the submission guidelines of this repository]","When preparing a pull request for its first review, how often do you use each action to increase your chances of having it merged? [I add tests]","When preparing a pull request for its first review, how often do you use each action to increase your chances of having it merged? [I add source code comments / documentation]","When preparing a pull request for its first review, how often do you use each action to increase your chances of having it merged? [I reference other pull requests]","When preparing a pull request for its first review, how often do you use each action to increase your chances of having it merged? [I check for competing pull requests]","When preparing a pull request for its first review, how often do you use each action to increase your chances of having it merged? [I run tests locally]","When preparing a pull request for its first review, how often do you use each action to increase your chances of having it merged? [I ask for advice]","When preparing a pull request for its first review, how often do you use each action to increase your chances of having it merged? [I assign reviewers to the pull request]","When preparing a pull request for its first review, how often do you use each action to increase your chances of having it merged? [I make sure the Continuous Integration build succeeds]","When preparing a pull request for its first review, how often do you use each action to increase your chances of having it merged? [I include emojis in the title or description]","If you can think of additional ways you prepare, please describe them and how often you use them.","When responding to feedback on your pull request, how often do you use each action to increase your chances of having it merged? [I adjust the language in my feedback to not offend the reviewer]","When responding to feedback on your pull request, how often do you use each action to increase your chances of having it merged? [I ask the reviewer to elaborate]","When responding to feedback on your pull request, how often do you use each action to increase your chances of having it merged? [I assure the reviewer that nothing is wrong with my pull request]","When responding to feedback on your pull request, how often do you use each action to increase your chances of having it merged? [I clarify / elaborate my intent with the pull request]","When responding to feedback on your pull request, how often do you use each action to increase your chances of having it merged? [I make additional commits that fix a flaw in my pull request]","When responding to feedback on your pull request, how often do you use each action to increase your chances of having it merged? [I make additional commits to comply better with coding conventions]","When responding to feedback on your pull request, how often do you use each action to increase your chances of having it merged? [I make additional commits that add tests]","When responding to feedback on your pull request, how often do you use each action to increase your chances of having it merged? [I try to respond quickly to the reviewer]","When responding to feedback on your pull request, how often do you use each action to increase your chances of having it merged? [I describe why my pull request is preferable over competing ones]","When responding to feedback on your pull request, how often do you use each action to increase your chances of having it merged? [I make additional commits that add source code comments / documentation]","When responding to feedback on your pull request, how often do you use each action to increase your chances of having it merged? [I ask for advice]","If you can think of additional ways you respond, please describe them and how often you use them.",What is the current focus of your software engineering career?,How long have you been working professionally in computer science?,What is your computer science domain?,What is your highest degree in computer science?,Have you researched the topic of pull requests on GitHub?
08/04/2022 13:34:11,11-30 (~1 pull request every two weeks on average),Important,Important,Important,Very important,Insignificant,Matters somewhat,Important,Very important,Important,Matters somewhat,Very important,Important,Important,Very important,Matters somewhat,Important,Important,,Rarely,Rarely,Often,Rarely,Very often,Occasionally,Often,Very often,Very often,Often,Very often,Occasionally,,Very important,Important,Important,Very important,Insignificant,Important,Important,Important,Matters somewhat,Very important,Important,Important,Very important,Important,Important,Very important,Matters somewhat,Matters somewhat,Important,Important,Important,,1-10 (<1 pull request per month on average),Very often,Occasionally,Rarely,Rarely,Very often,Very often,Very often,Often,Very often,Often,Often,Occasionally,Very often,Occasionally,Rarely,Very often,Rarely,,Often,Often,Often,Often,Often,Very often,Occasionally,Occasionally,Occasionally,Often,Occasionally,,Academia,10 years or more,"Programming Languages / Compilers, Security, Software Engineering",Doctorate,Yes
09/04/2022 18:51:34,>50 (>1 pull request per week on average),Matters somewhat,Very important,Very important,Very important,Matters somewhat,Very important,Matters somewhat,Very important,Insignificant,Matters somewhat,Very important,Insignificant,Very important,Very important,Very important,Matters somewhat,Important,,Rarely,Rarely,Very often,Rarely,Very often,Occasionally,Very often,Very often,Very often,Occasionally,Very often,Occasionally,,Matters somewhat,Very important,Very important,Very important,Insignificant,Insignificant,Insignificant,Insignificant,Insignificant,Very important,Insignificant,Insignificant,Very important,Insignificant,Insignificant,Very important,Very important,Very important,Matters somewhat,Matters somewhat,Insignificant,,>50 (>1 pull request per week on average),Very often,Rarely,Rarely,Rarely,Very often,Occasionally,Very often,Very often,Very often,Occasionally,Occasionally,Very often,Very often,Occasionally,Occasionally,Very often,Rarely,,Very often,Occasionally,Rarely,Occasionally,Very often,Very often,Very often,Very often,Rarely,Very often,Occasionally,,Industry,10 years or more,"Databases, Software Engineering, Web",Doctorate,No
10/04/2022 21:59:38,>50 (>1 pull request per week on average),Matters somewhat,Important,Matters somewhat,Not sure,Important,Not sure,Insignificant,Matters somewhat,Not sure,Important,Matters somewhat,Important,Very important,Very important,Important,Important,Important,,Occasionally,Occasionally,Not sure,Often,Often,Occasionally,Often,Often,Often,Often,Often,Occasionally,,Important,Matters somewhat,Matters somewhat,Insignificant,Important,Not sure,Insignificant,Important,Important,Important,Not sure,Important,Important,Important,Important,Important,Important,Matters somewhat,Very important,Very important,Important,,1-10 (<1 pull request per month on average),Very often,Rarely,Very often,Occasionally,Often,Often,Often,Often,Often,Very often,Occasionally,Occasionally,Often,Often,Occasionally,Often,Rarely,,Often,Occasionally,Often,Often,Often,Occasionally,Often,Very often,Occasionally,Often,Often,,Both,10 years or more,"Machine Learning / Artifical Intelligence, Simulations, Software Engineering",Doctorate,Yes
11/04/2022 08:54:50,11-30 (~1 pull request every two weeks on average),Important,Very important,Insignificant,Matters somewhat,Insignificant,Very important,Very important,Very important,Very important,Very important,Important,Very important,Very important,Very important,Matters somewhat,Matters somewhat,Matters somewhat,risk vs necessity (important),Rarely,Occasionally,Often,Very often,Often,Rarely,Often,Occasionally,Very often,Often,Very often,Rarely,,Matters somewhat,Matters somewhat,Insignificant,Important,Insignificant,Matters somewhat,Matters somewhat,Matters somewhat,Important,Very important,Important,Important,Important,Very important,Very important,Important,Insignificant,Important,Insignificant,Insignificant,Important,,1-10 (<1 pull request per month on average),Occasionally,Rarely,Occasionally,Rarely,Very often,Very often,Very often,Often,Often,Very often,Rarely,Often,Very often,Occasionally,Rarely,Very often,Rarely,,Very often,Often,Occasionally,Often,Very often,Often,Occasionally,Often,Very often,Often,Occasionally,,Industry,5-9 years,"Security, Software Engineering",Master,Yes
11/04/2022 13:10:43,1-10 (<1 pull request per month on average),Important,Not sure,Important,Matters somewhat,Insignificant,Insignificant,Insignificant,Very important,Insignificant,Matters somewhat,Important,Very important,Important,Very important,Important,Matters somewhat,Important,Code maintanability,Rarely,Rarely,Occasionally,Often,Very often,Occasionally,Very often,Often,Often,Often,Very often,Often,,Insignificant,Insignificant,Matters somewhat,Matters somewhat,Insignificant,Insignificant,Insignificant,Insignificant,Matters somewhat,Very important,Insignificant,Matters somewhat,Very important,Important,Important,Very important,Very important,Important,Important,Important,Important,,11-30 (~1 pull request every two weeks on average),Occasionally,Occasionally,Rarely,Rarely,Very often,Occasionally,Very often,Very often,Very often,Very often,Rarely,Often,Very often,Often,Occasionally,Very often,Occasionally,,Rarely,Rarely,Occasionally,Often,Very often,Often,Occasionally,Very often,Rarely,Rarely,Occasionally,,Both,10 years or more,Software Engineering,Doctorate,Yes
11/04/2022 17:11:54,1-10 (<1 pull request per month on average),Insignificant,Important,Important,Important,Insignificant,Not sure,Insignificant,Important,Matters somewhat,Not sure,Very important,Very important,,Very important,Important,Important,Very important,,Very often,Very often,Very often,Occasionally,Occasionally,Very often,Often,Often,Rarely,Very often,Occasionally,Very often,,Important,Important,Important,Important,Important,Insignificant,Insignificant,Insignificant,Important,Insignificant,Important,Not sure,Important,Important,Matters somewhat,Important,Important,Important,Important,Important,Important,,1-10 (<1 pull request per month on average),Very often,Very often,Very often,Very often,Very often,Often,Very often,Very often,Often,Very often,Not sure,Not sure,Very often,Often,Very often,Very often,Occasionally,,Very often,Often,Occasionally,Occasionally,Occasionally,Occasionally,Occasionally,Very often,Rarely,Very often,Often,,Both,1-4 years,"Databases, Graphics or Visualization, Machine Learning / Artifical Intelligence, Programming Languages / Compilers",Master,No
13/04/2022 02:33:10,31-50 (~1 pull request per week on average),Important,Important,Matters somewhat,Very important,Insignificant,Matters somewhat,Important,Important,Important,Insignificant,Important,Important,Matters somewhat,Important,Insignificant,Insignificant,Matters somewhat,,Rarely,Rarely,Rarely,Often,Often,Occasionally,Often,Occasionally,Often,Occasionally,Often,Occasionally,,Important,Matters somewhat,Important,Very important,Insignificant,Matters somewhat,Important,Matters somewhat,Matters somewhat,Very important,Matters somewhat,Matters somewhat,Important,Important,Important,Important,Insignificant,Important,Important,Important,Important,,31-50 (~1 pull request per week on average),Very often,Rarely,Rarely,Rarely,Often,Often,Very often,Very often,Often,Very often,Occasionally,Occasionally,Very often,Rarely,Rarely,Very often,Rarely,,Occasionally,Occasionally,Often,Often,Often,Often,Often,Very often,Occasionally,Occasionally,Rarely,,Both,10 years or more,"Databases, Machine Learning / Artifical Intelligence, Programming Languages / Compilers, Security, Software Engineering, Web",Master,No
13/04/2022 02:43:14,>50 (>1 pull request per week on average),Important,Very important,Very important,Very important,Important,Matters somewhat,Matters somewhat,Very important,Matters somewhat,Matters somewhat,Very important,Very important,Very important,Very important,Very important,Very important,Important,,Occasionally,Rarely,Very often,Often,Very often,Very often,Very often,Very often,Very often,Very often,Not sure,Often,,Important,Matters somewhat,Important,Very important,Matters somewhat,Insignificant,Insignificant,Insignificant,Matters somewhat,Very important,Matters somewhat,Matters somewhat,Very important,Very important,Very important,Very important,Matters somewhat,Important,Important,Important,Important,,11-30 (~1 pull request every two weeks on average),Very often,Often,Rarely,Occasionally,Very often,Very often,Very often,Very often,Very often,Very often,Very often,Very often,Very often,Very often,Occasionally,Very often,Rarely,,Very often,Very often,Occasionally,Often,Very often,Very often,Very often,Very often,Very often,Very often,Very often,,Both,5-9 years,"Databases, Software Engineering, Web",Bachelor,No
13/04/2022 03:06:06,31-50 (~1 pull request per week on average),Insignificant,Insignificant,Insignificant,Insignificant,Insignificant,Insignificant,Matters somewhat,Insignificant,Important,Important,Matters somewhat,Matters somewhat,Very important,Insignificant,Insignificant,Important,Very important,,Rarely,Rarely,Rarely,Not sure,Often,Rarely,Very often,Rarely,Not sure,Not sure,Not sure,Rarely,,Insignificant,Insignificant,Insignificant,Insignificant,Insignificant,Important,Important,Insignificant,Insignificant,Very important,Important,Matters somewhat,Matters somewhat,Matters somewhat,Important,Very important,Insignificant,Important,Important,Very important,Insignificant,,31-50 (~1 pull request per week on average),Not sure,Not sure,Rarely,Not sure,Very often,Often,Often,Often,Occasionally,Occasionally,Rarely,Not sure,Occasionally,Not sure,Rarely,Very often,Not sure,,Rarely,Rarely,Rarely,Occasionally,Occasionally,Very often,Occasionally,Often,Rarely,Occasionally,Not sure,,None,1-4 years,"Software Engineering, Web",None,No
13/04/2022 03:11:13,11-30 (~1 pull request every two weeks on average),Matters somewhat,Matters somewhat,Very important,Very important,Insignificant,Matters somewhat,Matters somewhat,Matters somewhat,Important,Important,Very important,Very important,Important,Important,Matters somewhat,Very important,Very important,,Often,Rarely,Occasionally,Often,Very often,Very often,Very often,Very often,Very often,Often,Often,Often,,Matters somewhat,Very important,Very important,Very important,Matters somewhat,Very important,Matters somewhat,Very important,Very important,Very important,Matters somewhat,Very important,Very important,Very important,Important,Very important,Very important,Important,Important,Very important,Matters somewhat,,31-50 (~1 pull request per week on average),Very often,Occasionally,Rarely,Very often,Very often,Often,Very often,Very often,Very often,Very often,Very often,Rarely,Very often,Very often,Rarely,Very often,Rarely,,Very often,Very often,Occasionally,Very often,Very often,Very often,Very often,Very often,Rarely,Very often,Very often,,Academia,5-9 years,"Simulations, Software Engineering, Electronics and embedded",None,No
